Date,AAPL,KO,MDLZ,SHOP
2018-09-13,56.602500915527344,45.83000183105469,43.869998931884766,15.550000190734863
2018-09-14,55.959999084472656,45.9900016784668,43.79999923706055,15.47700023651123
2018-09-17,54.470001220703125,46.31999969482422,43.709999084472656,15.36299991607666
2018-09-18,54.560001373291016,45.93000030517578,43.470001220703125,16.22800064086914
2018-09-19,54.592498779296875,45.959999084472656,43.439998626708984,16.459999084472656
2018-09-20,55.00749969482422,46.63999938964844,43.869998931884766,16.716999053955078
2018-09-21,54.415000915527344,46.58000183105469,43.939998626708984,16.152000427246094
2018-09-24,55.1974983215332,46.06999969482422,43.45000076293945,16.218000411987305
2018-09-25,55.54750061035156,45.68000030517578,43.2599983215332,16.111000061035156
2018-09-26,55.10499954223633,45.849998474121094,43.2400016784668,16.200000762939453
2018-09-27,56.23749923706055,46.0099983215332,43.06999969482422,16.44499969482422
2018-09-28,56.435001373291016,46.189998626708984,42.959999084472656,16.445999145507812
2018-10-01,56.814998626708984,46.22999954223633,42.83000183105469,16.341999053955078
2018-10-02,57.31999969482422,46.5099983215332,43.22999954223633,15.65999984741211
2018-10-03,58.01750183105469,45.869998931884766,42.779998779296875,16.020000457763672
2018-10-04,56.997501373291016,45.849998474121094,42.369998931884766,14.890999794006348
2018-10-05,56.0724983215332,45.880001068115234,42.41999816894531,14.5600004196167
2018-10-08,55.942501068115234,46.47999954223633,42.91999816894531,14.048999786376953
2018-10-09,56.717498779296875,46.38999938964844,42.7599983215332,14.022000312805176
2018-10-10,54.09000015258789,45.68000030517578,42.27000045776367,13.010000228881836
2018-10-11,53.61249923706055,44.63999938964844,41.189998626708984,12.83899974822998
2018-10-12,55.52750015258789,44.68000030517578,41.119998931884766,13.520000457763672
2018-10-15,54.34000015258789,44.90999984741211,41.040000915527344,13.569999694824219
2018-10-16,55.537498474121094,45.4900016784668,41.279998779296875,14.583000183105469
2018-10-17,55.29750061035156,45.86000061035156,41.15999984741211,13.737000465393066
2018-10-18,54.005001068115234,45.61000061035156,41.040000915527344,13.477999687194824
2018-10-19,54.82749938964844,46.33000183105469,41.79999923706055,12.706999778747559
2018-10-22,55.162498474121094,45.970001220703125,41.439998626708984,13.437000274658203
2018-10-23,55.682498931884766,46.36000061035156,41.2599983215332,13.215999603271484
2018-10-24,53.772499084472656,46.72999954223633,41.31999969482422,12.22700023651123
2018-10-25,54.95000076293945,46.5099983215332,41.0,13.699000358581543
2018-10-26,54.07500076293945,45.91999816894531,40.11000061035156,13.295000076293945
2018-10-29,53.060001373291016,46.459999084472656,40.11000061035156,12.850000381469727
2018-10-30,53.32500076293945,47.630001068115234,42.119998931884766,12.913999557495117
2018-10-31,54.71500015258789,47.880001068115234,41.97999954223633,13.8149995803833
2018-11-01,55.55500030517578,47.7400016784668,42.369998931884766,14.4350004196167
2018-11-02,51.869998931884766,48.0,41.97999954223633,14.555000305175781
2018-11-05,50.397499084472656,48.689998626708984,42.709999084472656,14.102999687194824
2018-11-06,50.942501068115234,49.11000061035156,43.45000076293945,14.093000411987305
2018-11-07,52.48749923706055,49.369998931884766,43.65999984741211,14.819000244140625
2018-11-08,52.122501373291016,49.33000183105469,43.939998626708984,14.954000473022461
2018-11-09,51.11750030517578,49.68000030517578,44.29999923706055,14.09000015258789
2018-11-12,48.54249954223633,49.869998931884766,44.45000076293945,13.553999900817871
2018-11-13,48.057498931884766,49.86000061035156,44.08000183105469,13.878000259399414
2018-11-14,46.70000076293945,49.7599983215332,43.7599983215332,14.276000022888184
2018-11-15,47.852500915527344,49.7400016784668,43.939998626708984,15.008999824523926
2018-11-16,48.38249969482422,50.16999816894531,44.27000045776367,15.10200023651123
2018-11-19,46.46500015258789,50.5099983215332,44.43000030517578,13.375
2018-11-20,44.244998931884766,49.380001068115234,43.689998626708984,13.4350004196167
2018-11-21,44.19499969482422,48.72999954223633,43.47999954223633,13.26099967956543
2018-11-23,43.0724983215332,49.02000045776367,43.790000915527344,13.480999946594238
2018-11-26,43.654998779296875,48.869998931884766,43.95000076293945,14.444000244140625
2018-11-27,43.560001373291016,49.369998931884766,44.540000915527344,14.446999549865723
2018-11-28,45.23500061035156,49.709999084472656,44.41999816894531,14.996000289916992
2018-11-29,44.88750076293945,48.97999954223633,44.529998779296875,14.904000282287598
2018-11-30,44.64500045776367,50.400001525878906,44.97999954223633,15.265999794006348
2018-12-03,46.20500183105469,49.689998626708984,45.029998779296875,15.638999938964844
2018-12-04,44.17250061035156,49.58000183105469,44.470001220703125,15.020000457763672
2018-12-06,43.68000030517578,49.380001068115234,44.25,15.6899995803833
2018-12-07,42.122501373291016,49.09000015258789,43.79999923706055,14.687999725341797
2018-12-10,42.400001525878906,49.2400016784668,43.93000030517578,15.149999618530273
2018-12-11,42.157501220703125,49.540000915527344,44.209999084472656,15.467000007629395
2018-12-12,42.275001525878906,49.220001220703125,44.06999969482422,16.009000778198242
2018-12-13,42.73749923706055,49.470001220703125,44.349998474121094,16.106000900268555
2018-12-14,41.369998931884766,49.34000015258789,43.54999923706055,14.017000198364258
2018-12-17,40.98500061035156,48.33000183105469,42.810001373291016,12.965999603271484
2018-12-18,41.51750183105469,48.31999969482422,42.13999938964844,13.439000129699707
2018-12-19,40.22249984741211,47.900001525878906,41.40999984741211,13.319000244140625
2018-12-20,39.20750045776367,47.540000915527344,41.15999984741211,12.770999908447266
2018-12-21,37.682498931884766,47.56999969482422,40.68000030517578,12.241000175476074
2018-12-24,36.70750045776367,45.959999084472656,39.47999954223633,11.90999984741211
2018-12-26,39.29249954223633,46.939998626708984,40.0,13.020999908447266
2018-12-27,39.037498474121094,47.529998779296875,40.22999954223633,13.239999771118164
2018-12-28,39.057498931884766,47.20000076293945,39.88999938964844,13.345999717712402
2018-12-31,39.435001373291016,47.349998474121094,40.029998779296875,13.845000267028809
2019-01-02,39.47999954223633,46.93000030517578,39.88999938964844,13.760000228881836
2019-01-03,35.54750061035156,46.63999938964844,39.7400016784668,12.979000091552734
2019-01-04,37.064998626708984,47.56999969482422,40.84000015258789,13.805999755859375
2019-01-07,36.98249816894531,46.95000076293945,41.119998931884766,14.439000129699707
2019-01-08,37.6875,47.47999954223633,42.08000183105469,14.543999671936035
2019-01-09,38.32749938964844,46.56999969482422,41.93000030517578,14.862000465393066
2019-01-10,38.45000076293945,47.06999969482422,42.34000015258789,14.82699966430664
2019-01-11,38.0724983215332,47.34000015258789,42.22999954223633,14.942999839782715
2019-01-14,37.5,47.150001525878906,42.47999954223633,14.90999984741211
2019-01-15,38.26750183105469,47.56999969482422,42.939998626708984,15.430000305175781
2019-01-16,38.73500061035156,46.91999816894531,42.66999816894531,15.824999809265137
2019-01-17,38.96500015258789,47.060001373291016,43.040000915527344,15.769000053405762
2019-01-18,39.20500183105469,47.61000061035156,43.36000061035156,15.843000411987305
2019-01-22,38.32500076293945,47.720001220703125,43.130001068115234,15.628000259399414
2019-01-23,38.47999954223633,48.27000045776367,43.5099983215332,15.65999984741211
2019-01-24,38.17499923706055,47.689998626708984,43.029998779296875,15.840999603271484
2019-01-25,39.439998626708984,47.369998931884766,42.720001220703125,16.281999588012695
2019-01-28,39.07500076293945,47.16999816894531,43.119998931884766,15.944000244140625
2019-01-29,38.66999816894531,47.400001525878906,43.43000030517578,15.711000442504883
2019-01-30,41.3125,47.86000061035156,43.810001373291016,16.243000030517578
2019-01-31,41.61000061035156,48.130001068115234,46.2599983215332,16.847000122070312
2019-02-01,41.630001068115234,48.70000076293945,45.56999969482422,17.05900001525879
2019-02-04,42.8125,49.25,46.11000061035156,17.354999542236328
2019-02-05,43.54499816894531,49.2599983215332,45.97999954223633,17.35700035095215
2019-02-06,43.560001373291016,49.2599983215332,46.20000076293945,17.360000610351562
2019-02-07,42.73500061035156,49.41999816894531,46.5,17.18000030517578
2019-02-08,42.602500915527344,49.5,46.900001525878906,17.594999313354492
2019-02-11,42.35749816894531,49.61000061035156,47.45000076293945,17.316999435424805
2019-02-12,42.72249984741211,49.65999984741211,47.54999923706055,17.55500030517578
2019-02-13,42.54499816894531,49.790000915527344,47.61000061035156,17.20199966430664
2019-02-14,42.70000076293945,45.59000015258789,47.31999969482422,17.652000427246094
2019-02-15,42.60499954223633,45.2400016784668,48.15999984741211,17.819000244140625
2019-02-19,42.73249816894531,44.83000183105469,48.099998474121094,18.1299991607666
2019-02-20,43.00749969482422,45.099998474121094,47.9900016784668,17.92099952697754
2019-02-21,42.76499938964844,45.86000061035156,48.40999984741211,17.847000122070312
2019-02-22,43.24250030517578,45.279998779296875,47.720001220703125,18.363000869750977
